,c_1,c_2,c_3,c_4,c_5,c_6,c_7
Alaska-Aleutians West Census Area,-0.010280400514602661,-0.2632010877132416,-0.3663216829299927,0.14737704396247864,0.26878517866134644,-0.6873941421508789,-0.4539337158203125
Alaska-Anchorage Municipality,-0.1303216516971588,-0.1206832230091095,-0.429417222738266,0.16305406391620636,-0.04598088562488556,-0.07449665665626526,-0.18116995692253113
Alaska-Bethel Census Area,0.5974726676940918,-0.6246175169944763,-0.048797063529491425,0.5729058980941772,-0.4307608902454376,-0.23901495337486267,-0.6844135522842407
Alaska-Bristol Bay Borough,-0.07695621252059937,-0.6971453428268433,-0.09694917500019073,0.37518271803855896,0.11768097430467606,-0.15948933362960815,-0.34294307231903076
Alaska-Denali Borough,-0.34430426359176636,-0.6008480191230774,-0.03496988117694855,0.2782011032104492,0.059685684740543365,-0.01003187894821167,-0.26142817735671997
Alaska-Dillingham Census Area,0.39270108938217163,-0.5798597931861877,-0.12650348246097565,0.46650955080986023,-0.2260942906141281,-0.2508547902107239,-0.5807137489318848
Alaska-Fairbanks North Star Borough,-0.14537286758422852,-0.19997328519821167,-0.22620618343353271,0.16351191699504852,-0.02651432901620865,-0.0022066831588745117,-0.24157071113586426
Alaska-Haines Borough,-0.3532085418701172,-0.5271947979927063,-0.00011857599020004272,0.21562685072422028,0.17285412549972534,-0.3071134090423584,-0.19446662068367004
Alaska-Hoonah-Angoon Census Area,0.10595746338367462,-0.7656958103179932,0.09246625751256943,0.42946162819862366,-0.010596572421491146,-0.16920426487922668,-0.22462192177772522
Alaska-Juneau City and Borough,-0.18512320518493652,-0.487067312002182,-0.32397541403770447,0.3462001085281372,-0.05180153623223305,-0.005060791969299316,-0.25217148661613464
Alaska-Kenai Peninsula Borough,-0.22255194187164307,-0.18064644932746887,-0.07163084298372269,0.04946669936180115,0.010116564109921455,-0.022057831287384033,-0.1604284793138504
Alaska-Ketchikan Gateway Borough,-0.05806159973144531,-0.3087070882320404,-0.11383506655693054,0.1724628359079361,-0.04466363787651062,-0.14217102527618408,-0.3153621256351471
Alaska-Kodiak Island Borough,-0.008271962404251099,-0.3670032322406769,-0.16226914525032043,0.19182249903678894,0.042486194521188736,-0.2983521521091461,-0.42900142073631287
Alaska-Kusilvak Census Area,0.8798772096633911,-0.7899884581565857,0.15025287866592407,0.6965091228485107,-0.6079748272895813,-0.17316162586212158,-0.7641617655754089
Alaska-Lake and Peninsula Borough,0.4044917821884155,-0.9770742654800415,0.09704677015542984,0.6673673391342163,-0.1526733785867691,-0.28097859025001526,-0.6522768139839172
Alaska-Matanuska-Susitna Borough,-0.19082441926002502,-0.06387478113174438,-0.16368794441223145,0.036710262298583984,0.13490329682826996,0.3115711808204651,-0.18418610095977783
Alaska-Nome Census Area,0.575955867767334,-0.6991257071495056,0.009191587567329407,0.5701450109481812,-0.43685150146484375,-0.21519392728805542,-0.609045684337616
Alaska-North Slope Borough,0.004283308982849121,-0.6370455622673035,-0.21885228157043457,0.3493588864803314,0.29291653633117676,-0.4066113829612732,-0.7029596567153931
Alaska-Northwest Arctic Borough,0.5653857588768005,-0.7100855708122253,-0.0638604387640953,0.591023325920105,-0.3410314619541168,-0.22222205996513367,-0.7276909351348877
Alaska-Petersburg Borough,-0.13146591186523438,-0.6381686925888062,0.03598747402429581,0.2515066862106323,0.17378614842891693,-0.25520360469818115,-0.2580415606498718
Alaska-Prince of Wales-Hyder Census Area,0.2150951474905014,-0.5790596604347229,0.14957928657531738,0.3130209445953369,0.002679849974811077,-0.07304021716117859,-0.42360860109329224
Alaska-Sitka City and Borough,-0.14977356791496277,-0.5002247095108032,-0.19078433513641357,0.27421867847442627,-0.04669525846838951,-0.1764284372329712,-0.23060843348503113
Alaska-Skagway Municipality,-0.3266024589538574,-0.4469617009162903,-0.13208261132240295,0.21017982065677643,-0.008905612863600254,-0.43474167585372925,-0.26720550656318665
Alaska-Southeast Fairbanks Census Area,-0.10518261790275574,-0.5427619814872742,0.14399221539497375,0.2055368423461914,0.14235103130340576,-0.08411857485771179,-0.31069791316986084
Alaska-Valdez-Cordova Census Area,-0.1540815234184265,-0.6126610636711121,-0.06527270376682281,0.295811265707016,-0.00042549241334199905,-0.11500987410545349,-0.21549274027347565
Alaska-Wrangell City and Borough,-0.05472967028617859,-0.5769051909446716,0.12437818199396133,0.2650790810585022,-0.04615060240030289,-0.17770829796791077,-0.15542025864124298
Alaska-Yakutat City and Borough,-0.022591054439544678,-0.874224066734314,-0.0029015354812145233,0.4411759078502655,0.3822105824947357,-0.3176727592945099,-0.40859442949295044
Alaska-Yukon-Koyukuk Census Area,0.5861624479293823,-0.8987811803817749,0.14259031414985657,0.6852192878723145,-0.4140324294567108,-0.054495006799697876,-0.5897632241249084
Arizona-Apache,0.7986072301864624,-0.3127773702144623,0.18619942665100098,0.3355521857738495,-0.31215882301330566,0.3135649561882019,-0.3835379183292389
Arizona-Cochise,0.27674582600593567,-0.2616732716560364,-0.14236584305763245,0.02296239137649536,-0.19894036650657654,0.009623289108276367,-0.09129882603883743
Arizona-Coconino,0.19324848055839539,-0.15080386400222778,-0.12601238489151,0.09990525245666504,-0.23231427371501923,-0.0654972493648529,-0.21906492114067078
Arizona-Gila,0.27498793601989746,-0.08979904651641846,0.06542425602674484,-0.03749346733093262,-0.16045598685741425,0.0334506630897522,-0.1499050110578537
Arizona-Graham,0.37142807245254517,-0.14962494373321533,-0.02923048660159111,-0.07566076517105103,-0.036814723163843155,0.0041675567626953125,-0.2077558934688568
Arizona-Greenlee,0.22150206565856934,-0.22853022813796997,-0.08268515765666962,-0.30263087153434753,0.4671679437160492,-0.2230910062789917,-0.1320369988679886
Arizona-La Paz,0.292778342962265,-0.40378856658935547,0.16648367047309875,0.014811694622039795,-0.09969168156385422,-0.1241697371006012,-0.0951123982667923
Arizona-Maricopa,0.13156360387802124,0.08901810646057129,-0.522916316986084,-0.09536179900169373,-0.11337335407733917,0.021384775638580322,-0.023574508726596832
Arizona-Mohave,0.12038847804069519,0.08113926649093628,0.045046187937259674,-0.13469544053077698,-0.22412824630737305,-0.03755098581314087,-0.15211139619350433
Arizona-Navajo,0.5427612662315369,-0.2167150378227234,0.14411324262619019,0.1651453673839569,-0.2914963364601135,0.1472327709197998,-0.2921168804168701
Arizona-Pima,0.26616308093070984,-0.059031665325164795,-0.3107563853263855,-0.08321723341941833,-0.1546568125486374,0.04359203577041626,-0.030266351997852325
Arizona-Pinal,0.23219263553619385,0.0443156361579895,-0.2027893364429474,-0.106944739818573,-0.029798433184623718,0.1671695113182068,-0.12302328646183014
Arizona-Santa Cruz,0.7530711889266968,-0.284936785697937,-0.38630548119544983,-0.3471132814884186,-0.014148836024105549,-0.08605185151100159,0.1402108073234558
Arizona-Yavapai,-0.03269031643867493,-0.035890281200408936,-0.03814402222633362,-0.0770171582698822,-0.11611461639404297,0.05856674909591675,-0.08707647025585175
Arizona-Yuma,0.5855720639228821,-0.1884080469608307,-0.20025178790092468,-0.2600984275341034,-0.019376859068870544,-0.12570461630821228,-0.13255125284194946
Arkansas-Arkansas,0.08557642996311188,0.14915591478347778,0.15625736117362976,0.10867828130722046,0.028644002974033356,-0.28697070479393005,0.014135755598545074
Arkansas-Ashley,0.1484171450138092,0.17548102140426636,0.13688591122627258,0.11259081959724426,0.004509310703724623,-0.19006505608558655,0.07437563687562943
Arkansas-Baxter,-0.17752578854560852,0.09465670585632324,0.13902431726455688,-0.10127580165863037,-0.1927703619003296,-0.12794366478919983,0.04565548151731491
Arkansas-Benton,-0.1695939600467682,0.1125076413154602,-0.2695451080799103,-0.15071198344230652,-0.04903603717684746,-0.1634553074836731,0.06807250529527664
Arkansas-Boone,-0.1573813557624817,0.09620505571365356,0.09509912878274918,-0.10114338994026184,-0.17796602845191956,-0.02509629726409912,0.061714403331279755
Arkansas-Bradley,0.3863823413848877,0.10092592239379883,0.17549991607666016,0.10611490905284882,0.09977231174707413,-0.07756844162940979,0.06473482400178909
Arkansas-Calhoun,0.035557106137275696,0.12139946222305298,0.20559799671173096,0.04493415355682373,0.2842426002025604,-0.039115309715270996,0.05284842103719711
Arkansas-Carroll,-0.04650038480758667,0.008134126663208008,0.14213517308235168,-0.17860904335975647,0.027226638048887253,-0.14334192872047424,0.010386116802692413
Arkansas-Chicot,0.5842098593711853,0.15944308042526245,0.1132250651717186,0.43285852670669556,0.02698943018913269,-0.11724787950515747,0.13639074563980103
Arkansas-Clark,0.16740289330482483,0.1010674238204956,0.06145380437374115,0.18907080590724945,-0.12942029535770416,-0.04092457890510559,0.029398582875728607
Arkansas-Clay,-0.08223792910575867,0.15708786249160767,0.2921808958053589,-0.17171087861061096,-0.06710733473300934,-0.059402793645858765,-0.01233171671628952
Arkansas-Cleburne,-0.1840822398662567,0.0814862847328186,0.12952309846878052,-0.09889307618141174,-0.02531839907169342,0.05788564682006836,0.0024651065468788147
Arkansas-Cleveland,0.010100215673446655,0.060146331787109375,0.1758451759815216,0.02751702070236206,0.13109411299228668,0.19548237323760986,0.0005489662289619446
Arkansas-Columbia,0.2641046643257141,0.2297784686088562,0.06595763564109802,0.21252559125423431,-0.05151792988181114,-0.2156057357788086,0.15382680296897888
Arkansas-Conway,0.03042595088481903,0.12158465385437012,0.15973994135856628,-0.027820497751235962,0.07896703481674194,0.027033746242523193,0.034418441355228424
Arkansas-Craighead,-0.014733701944351196,0.11449950933456421,0.02421562373638153,0.0301152765750885,-0.10533709824085236,-0.14477837085723877,0.08091751486063004
Arkansas-Crawford,-0.06662389636039734,0.16829311847686768,0.06247737258672714,-0.1425803005695343,-0.09055200219154358,-0.02667415142059326,0.006843753159046173
Arkansas-Crittenden,0.3808523714542389,0.3217872977256775,-0.027157144621014595,0.3435439169406891,0.04326944425702095,-0.20648711919784546,0.113886259496212
Arkansas-Cross,0.09582781791687012,0.10259377956390381,0.15151041746139526,0.10171940922737122,0.10270524024963379,0.0009546875953674316,-0.03963275998830795
Arkansas-Dallas,0.25688016414642334,0.1766965389251709,0.14155998826026917,0.2650173604488373,0.22055837512016296,-0.15584436058998108,-0.170180544257164
Arkansas-Desha,0.5786021947860718,0.21577662229537964,0.20589321851730347,0.34114712476730347,0.011111611500382423,-0.11378660798072815,0.17116552591323853
Arkansas-Drew,0.2783627212047577,0.12007266283035278,0.15531542897224426,0.21734538674354553,-0.04120982065796852,0.014166772365570068,0.06876149028539658
Arkansas-Faulkner,-0.11906516551971436,0.10689473152160645,-0.10556633770465851,0.03933513164520264,-0.05035913363099098,0.03226536512374878,0.009671993553638458
Arkansas-Franklin,-0.04913640022277832,0.059790074825286865,0.22588279843330383,-0.0723082423210144,-0.05826495215296745,0.1532648205757141,-0.05300310254096985
Arkansas-Fulton,-0.08228451013565063,0.04198622703552246,0.27667033672332764,-0.10426685214042664,-0.0008560968562960625,0.14333993196487427,0.016110025346279144
Arkansas-Garland,0.0012112259864807129,0.07441556453704834,0.062187813222408295,-0.013238906860351562,-0.11264907568693161,0.014484524726867676,-0.014002114534378052
Arkansas-Grant,-0.20108968019485474,0.1643959879875183,0.057112015783786774,-0.06706473231315613,0.053553082048892975,0.14419448375701904,-0.06388679146766663
Arkansas-Greene,-0.1741417646408081,0.1735425591468811,0.12466906756162643,-0.1386597454547882,-0.10237887501716614,-0.07542717456817627,0.06723282486200333
Arkansas-Hempstead,0.3475036025047302,0.12109559774398804,0.20695725083351135,0.0879068672657013,0.18852123618125916,-0.17123714089393616,0.03198773413896561
Arkansas-Hot Spring,0.009169235825538635,0.16376185417175293,0.13756310939788818,-0.017878443002700806,0.004667649976909161,0.04848569631576538,-0.0596453994512558
Arkansas-Howard,0.17010557651519775,0.09685498476028442,0.18306240439414978,0.026555955410003662,0.18501897156238556,-0.19689035415649414,-0.04326586425304413
Arkansas-Independence,-0.043547213077545166,0.07203114032745361,0.20417466759681702,-0.12541401386260986,-0.03506814315915108,-0.06494075059890747,-0.045832522213459015
Arkansas-Izard,-0.08431875705718994,0.03360170125961304,0.25735220313072205,-0.0653439462184906,-0.06740478426218033,0.0631636381149292,0.0014100298285484314
Arkansas-Jackson,0.1623348891735077,0.1955469250679016,0.3078113794326782,-0.012453287839889526,-0.028369233012199402,-0.1364024579524994,0.09439980238676071
Arkansas-Jefferson,0.49622538685798645,0.27190256118774414,0.04301878809928894,0.46462583541870117,-0.002011965960264206,-0.16032028198242188,0.05947036296129227
Arkansas-Johnson,0.014138728380203247,0.10919207334518433,0.18375280499458313,-0.19061508774757385,0.013700582087039948,-0.1461409032344818,0.02025792747735977
Arkansas-Lafayette,0.27188730239868164,0.025893867015838623,0.22551456093788147,0.29208630323410034,0.1930278092622757,-0.007612824440002441,0.1261911690235138
Arkansas-Lawrence,-0.04404169321060181,0.02392446994781494,0.31128156185150146,-0.07784155011177063,-0.09269166737794876,0.09354293346405029,-0.0491742268204689
Arkansas-Lee,0.5949380397796631,0.11823344230651855,0.25861847400665283,0.4529035985469818,0.1320876032114029,-0.10120609402656555,-0.048961341381073
Arkansas-Lincoln,0.27082931995391846,0.08488881587982178,0.2426096498966217,0.21699397265911102,0.11101749539375305,0.0017748475074768066,-0.054277203977108
Arkansas-Little River,0.1159188449382782,0.19543170928955078,0.16930609941482544,0.07811671495437622,0.050364382565021515,-0.04144051671028137,-0.1071971133351326
Arkansas-Logan,-0.0703054666519165,0.0646982192993164,0.19680044054985046,-0.05912595987319946,-0.06894288957118988,0.11129480600357056,-0.03533890098333359
Arkansas-Lonoke,-0.19215822219848633,0.12178677320480347,-0.08981750160455704,-0.02275058627128601,-0.0328642912209034,0.07212364673614502,0.0037466958165168762
Arkansas-Madison,-0.09585973620414734,0.0036429762840270996,0.2351449429988861,-0.12388890981674194,0.1456569880247116,0.2096080780029297,0.03273690491914749
Arkansas-Marion,-0.040802001953125,0.05788695812225342,0.3423682153224945,-0.12258988618850708,-0.05348110571503639,0.03458625078201294,-0.22475573420524597
Arkansas-Miller,0.11027884483337402,0.2067163586616516,0.07157949358224869,0.09782099723815918,-0.03787614777684212,-0.14435634016990662,0.07038780301809311
Arkansas-Mississippi,0.32328498363494873,0.2439478039741516,0.20373117923736572,0.15976294875144958,0.04918886348605156,-0.22081661224365234,-0.02127142995595932
Arkansas-Monroe,0.4989401698112488,0.13606327772140503,0.29695114493370056,0.27924519777297974,0.005984846968203783,-0.07839706540107727,-0.025785766541957855
Arkansas-Montgomery,-0.11205577850341797,-0.15013161301612854,0.29157471656799316,-0.07908087968826294,0.17972540855407715,0.16872859001159668,-0.03182603418827057
Arkansas-Nevada,0.3605283200740814,0.1728847622871399,0.2781161963939667,0.1820359081029892,0.026288244873285294,0.07983672618865967,0.10269578546285629
Arkansas-Newton,-0.0813136100769043,-0.03507351875305176,0.32884493470191956,-0.06395462155342102,0.1306096911430359,0.3319494128227234,-0.0552043691277504
Arkansas-Ouachita,0.32410290837287903,0.29125094413757324,0.13931995630264282,0.2272547334432602,0.08211252093315125,-0.13971847295761108,0.05405645817518234
Arkansas-Perry,-0.12920475006103516,-0.025569915771484375,0.19378793239593506,-0.05329102277755737,0.20700038969516754,0.296470582485199,-0.09532393515110016
Arkansas-Phillips,0.7290065288543701,0.2646893262863159,0.20203104615211487,0.4956061840057373,0.013904063031077385,-0.13194960355758667,-0.043632350862026215
Arkansas-Pike,-0.019285500049591064,-0.0055335164070129395,0.27299487590789795,-0.11641353368759155,0.11026263236999512,0.07817244529724121,-0.04996919631958008
Arkansas-Poinsett,0.02458791434764862,0.18622863292694092,0.25671759247779846,-0.1099158525466919,-0.008810884319245815,-0.0019794702529907227,0.010337673127651215
Arkansas-Polk,0.020704835653305054,0.006355762481689453,0.2557801604270935,-0.1180189847946167,-0.03008648008108139,0.04057943820953369,0.014237649738788605
Arkansas-Pope,-0.057304054498672485,0.11373889446258545,0.09276311844587326,-0.11985474824905396,-0.11297445744276047,-0.11916688084602356,0.012026719748973846
Arkansas-Prairie,-0.011886566877365112,0.07129180431365967,0.23427265882492065,0.00902169942855835,0.07208780944347382,0.08711785078048706,-0.02157452702522278
Arkansas-Pulaski,0.15939125418663025,0.1604858636856079,-0.24149882793426514,0.30901387333869934,-0.08581355214118958,-0.1185406744480133,0.1226254478096962
Arkansas-Randolph,-0.12078720331192017,0.15568292140960693,0.2063317596912384,-0.14893850684165955,0.03028062731027603,0.10741162300109863,-0.0015127286314964294
Arkansas-St. Francis,0.49842095375061035,0.22093135118484497,0.12094631046056747,0.3689468502998352,0.08545811474323273,-0.18628430366516113,0.002676345407962799
Arkansas-Saline,-0.24117803573608398,0.10281026363372803,-0.16323630511760712,-0.00959479808807373,-0.05769616737961769,0.060902953147888184,-0.004552312195301056
Arkansas-Scott,0.025963276624679565,-0.03135401010513306,0.30595558881759644,-0.09491464495658875,0.08325941115617752,-0.004431247711181641,-0.18894505500793457
Arkansas-Searcy,-0.0989651083946228,0.00937575101852417,0.25282442569732666,-0.1286453902721405,0.09615451097488403,0.23343831300735474,0.1452389359474182
Arkansas-Sebastian,0.08393840491771698,0.1944795846939087,-0.018606357276439667,-0.13195127248764038,-0.12466783821582794,-0.20790472626686096,0.021312691271305084
Arkansas-Sevier,0.28269243240356445,0.00863957405090332,0.1641051173210144,-0.273089736700058,0.34217315912246704,-0.10006594657897949,-0.24009209871292114
Arkansas-Sharp,-0.0309026837348938,0.05890011787414551,0.31026560068130493,-0.1329677402973175,0.03786608949303627,0.1751413345336914,-0.054849833250045776
Arkansas-Stone,-0.01974862813949585,-0.23644796013832092,0.4265832304954529,-0.012342989444732666,0.029055818915367126,0.20022475719451904,0.04842296987771988
